permno,bankruptcy_dt
30744,3/5/1964
29399,9/3/1964
37938,3/9/1965
29532,3/10/1965
37946,5/10/1965
38252,5/25/1965
41339,8/26/1966
37196,9/27/1966
34569,2/26/1969
31675,5/5/1969
35449,4/23/1970
37444,4/30/1970
13792,6/22/1970
47124,6/29/1970
34200,7/3/1970
45153,7/21/1970
44185,7/21/1970
34518,8/12/1970
31843,8/21/1970
29620,8/31/1970
35692,9/17/1970
29719,9/29/1970
33697,9/29/1970
32045,10/6/1970
41945,10/6/1970
39677,12/4/1970
41267,1/22/1971
43158,3/1/1971
36767,3/9/1971
39095,3/29/1971
31050,4/22/1971
30453,4/26/1971
45188,6/3/1971
28601,6/10/1971
38690,2/9/1972
39183,4/4/1972
42251,4/26/1972
31982,5/16/1972
37794,6/8/1972
11834,6/26/1972
31464,7/31/1972
37110,7/31/1972
31835,8/17/1972
34198,9/29/1972
38770,11/20/1972
31114,2/5/1973
35684,2/16/1973
54712,2/23/1973
38738,2/26/1973
52927,2/27/1973
44249,3/19/1973
18702,3/20/1973
43991,4/5/1973
31130,5/1/1973
61541,5/4/1973
39503,5/15/1973
38631,6/5/1973
34876,6/5/1973
21710,7/2/1973
42948,7/23/1973
51713,7/25/1973
54113,8/20/1973
29990,8/27/1973
81163,9/10/1973
39060,9/18/1973
42375,9/20/1973
19714,9/26/1973
14921,10/5/1973
62405,10/26/1973
33670,12/3/1973
61293,12/14/1973
42964,12/31/1973
52732,1/15/1974
39184,1/16/1974
54789,1/17/1974
49664,1/21/1974
55757,2/1/1974
82545,2/27/1974
38615,2/27/1974
33961,3/4/1974
25690,3/11/1974
50219,3/18/1974
32301,3/25/1974
72451,4/2/1974
46105,4/29/1974
48661,5/7/1974
17072,5/22/1974
41690,5/31/1974
41910,6/14/1974
19458,7/23/1974
29743,7/31/1974
48127,8/9/1974
40126,9/16/1974
67214,9/17/1974
59505,9/30/1974
37576,10/17/1974
33216,10/22/1974
34462,10/30/1974
32571,11/15/1974
35414,12/10/1974
45372,12/13/1974
42155,12/23/1974
55239,12/26/1974
31931,12/27/1974
37479,1/1/1975
12555,1/8/1975
39749,1/15/1975
51545,1/31/1975
41849,2/4/1975
39757,2/11/1975
43079,2/18/1975
41603,2/27/1975
21603,3/10/1975
43457,3/14/1975
42040,3/18/1975
69076,4/7/1975
36863,4/9/1975
39730,4/21/1975
51481,4/25/1975
80064,5/7/1975
29241,6/17/1975
50657,8/13/1975
53460,9/2/1975
50403,9/3/1975
27393,9/4/1975
16969,10/3/1975
80195,10/6/1975
32344,10/9/1975
51668,10/20/1975
25515,12/15/1975
46552,1/20/1976
47424,1/22/1976
51078,2/5/1976
40812,2/23/1976
42091,3/9/1976
56047,3/12/1976
44441,3/17/1976
56928,3/24/1976
55888,3/31/1976
31499,4/23/1976
43019,4/28/1976
14700,4/30/1976
56303,5/17/1976
49509,5/28/1976
39474,6/3/1976
67678,6/17/1976
48231,6/29/1976
57496,7/1/1976
50243,7/6/1976
34059,7/23/1976
49111,8/30/1976
17339,9/1/1976
46973,9/21/1976
37073,10/26/1976
66384,11/1/1976
17727,11/10/1976
56426,11/16/1976
47108,11/19/1976
50307,11/30/1976
81462,1/6/1977
73067,1/18/1977
32380,2/11/1977
22270,3/7/1977
43465,3/28/1977
54340,3/28/1977
46746,3/29/1977
85439,3/29/1977
53954,4/6/1977
46033,4/11/1977
30841,5/9/1977
28791,6/13/1977
79928,6/17/1977
81585,6/21/1977
30446,6/29/1977
49868,7/1/1977
60004,7/8/1977
22510,7/11/1977
38439,7/13/1977
20968,7/13/1977
41515,7/18/1977
54261,8/5/1977
57656,9/2/1977
46885,9/8/1977
27238,9/12/1977
52281,10/31/1977
42729,11/2/1977
18390,12/2/1977
85682,12/6/1977
22402,12/20/1977
57576,1/3/1978
42957,1/6/1978
18981,1/10/1978
60680,2/1/1978
50745,2/15/1978
28679,3/1/1978
40520,3/3/1978
50139,3/10/1978
46113,3/14/1978
58245,3/21/1978
37719,3/22/1978
34593,5/18/1978
53217,5/23/1978
46041,7/6/1978
51035,7/24/1978
58157,8/1/1978
55087,8/3/1978
21346,10/3/1978
53049,10/6/1978
34797,10/11/1978
22074,11/7/1978
31755,12/4/1978
48952,12/4/1978
53292,12/21/1978
55546,1/18/1979
37970,1/24/1979
57699,2/16/1979
51027,2/23/1979
54762,2/23/1979
58747,4/5/1979
45225,6/20/1979
14154,6/26/1979
66537,6/28/1979
38026,7/18/1979
16096,7/30/1979
55335,7/30/1979
33996,10/2/1979
44231,10/23/1979
44098,10/25/1979
68145,11/13/1979
48151,12/5/1979
44119,1/1/1980
82342,1/1/1980
59572,1/1/1980
33574,1/4/1980
43326,2/1/1980
29751,2/1/1980
38068,2/8/1980
67257,2/29/1980
65681,3/1/1980
24513,3/12/1980
35916,3/18/1980
74473,3/19/1980
15915,4/7/1980
40600,4/29/1980
62632,5/5/1980
52644,5/28/1980
75441,7/1/1980
55183,7/3/1980
77076,7/15/1980
83054,7/23/1980
58924,9/1/1980
19334,9/4/1980
57955,9/8/1980
35078,10/1/1980
50040,10/20/1980
47635,10/31/1980
25735,11/6/1980
68807,12/2/1980
56726,12/12/1980
52266,12/19/1980
71080,1/1/1981
52330,1/1/1981
62033,1/1/1981
75396,1/1/1981
64144,1/1/1981
46077,1/19/1981
48450,2/11/1981
50470,2/17/1981
22162,2/24/1981
40934,2/25/1981
30883,2/28/1981
10971,3/17/1981
45349,4/1/1981
35457,4/14/1981
46244,6/4/1981
18631,6/12/1981
45073,6/15/1981
65833,7/6/1981
28338,7/20/1981
78351,8/10/1981
46869,9/4/1981
32889,9/8/1981
55167,9/21/1981
39351,9/24/1981
42315,9/28/1981
31043,11/1/1981
29429,11/1/1981
55423,11/6/1981
53276,11/16/1981
50825,11/27/1981
52740,11/30/1981
34439,12/1/1981
39685,12/8/1981
45322,12/23/1981
17698,1/1/1982
65190,1/1/1982
84690,1/1/1982
54826,1/1/1982
52688,1/1/1982
36813,1/1/1982
11798,1/1/1982
46287,1/7/1982
27836,1/15/1982
27617,1/25/1982
49270,2/4/1982
24731,2/19/1982
36134,2/20/1982
60602,3/1/1982
31772,3/1/1982
53701,3/4/1982
38122,3/9/1982
52185,3/28/1982
36759,4/1/1982
64470,4/12/1982
18980,4/14/1982
36222,4/15/1982
68195,4/24/1982
24433,5/1/1982
42113,5/1/1982
84567,5/13/1982
71459,6/1/1982
52572,6/14/1982
64630,7/2/1982
22664,7/29/1982
47416,8/1/1982
39925,8/5/1982
16707,8/26/1982
38440,9/1/1982
52098,9/1/1982
32484,9/2/1982
50665,9/9/1982
64857,10/1/1982
32759,10/5/1982
17646,10/27/1982
80849,11/1/1982
76153,11/1/1982
28600,11/1/1982
59273,11/1/1982
84487,11/22/1982
12240,12/3/1982
48646,12/3/1982
19298,1/1/1983
45779,1/1/1983
37437,1/1/1983
23289,1/1/1983
51773,1/1/1983
11616,1/1/1983
36097,1/1/1983
25241,1/1/1983
10621,1/17/1983
60919,1/21/1983
11309,2/1/1983
28090,2/9/1983
19289,2/9/1983
50411,2/22/1983
78414,2/28/1983
50981,3/7/1983
